Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
651038,1,651079,,3/16/2009 15:56,,1244,1000729,78642,BigDave,63550,,12/18/2016 21:25,1/8/2017 20:13,How do you clone a Git repository into a specific folder?,<git><repository><git-clone>,14,1,273,,
2941189,1,2941203,,5/31/2010 3:15,,536,1003868,111479,,6887672,,2/16/2017 15:58,2/16/2017 15:58,How to overlay one div over another div,<html><css><position><overlay>,6,0,170,,
1291942,1,1291950,,8/18/2009 5:20,,720,1005206,104015,,100754,,8/25/2009 17:20,1/16/2017 11:28,"What does ""javascript:void(0)"" mean?",<javascript><html><href><void>,11,5,237,,
4037939,1,4038991,,10/27/2010 21:39,,898,1006708,489400,,63550,,12/1/2014 19:45,2/3/2017 11:48,"PowerShell says ""execution of scripts is disabled on this system.""",<powershell><powershell-v2.0><windows-server-2008-r2>,18,3,225,,
1895476,1,13968900,,12/13/2009 3:33,,812,1008062,84201,,1113772,,3/1/2013 18:03,2/17/2017 2:10,How to style a <select> dropdown with CSS only without JavaScript?,<html><css><combobox><cross-browser><skinning>,24,7,310,,
175415,1,175446,,10/6/2008 17:53,,484,1008651,4872,Ray Vega,1708520,,12/7/2013 2:36,2/2/2017 20:00,How do I get list of all tables in a database using TSQL?,<sql-server><tsql><database-table>,12,2,97,,
359494,1,359509,,12/11/2008 14:19,,4401,1008848,44990,,1063716,user166390,7/22/2016 15:36,3/1/2017 23:44,Which equals operator (== vs ===) should be used in JavaScript comparisons?,<javascript><operators><equality><equality-operator><identity-operator>,42,26,1396,,
11461607,1,11461676,,7/12/2012 22:23,,616,1010603,1522092,,4864943,user5777746,7/5/2016 8:15,1/4/2017 6:22,Can't start Eclipse - Java was started but returned exit code=13,<java><android><eclipse><windows>,36,3,113,,
419163,1,419185,,1/7/2009 4:11,,2545,1013531,51518,koldfyre,4734394,saua,1/1/2017 16:11,1/20/2017 19:32,"What does if __name__ == ""__main__"": do?",<python><module><namespaces><main><idioms>,16,0,1040,,
2353818,1,,,3/1/2010 4:09,,1267,1016377,279932,,739331,,1/13/2013 16:05,1/15/2017 9:48,How do I get started with Node.js,<javascript><node.js>,3,1,4261,,10/2/2012 22:04
3480771,1,3480785,,8/13/2010 21:25,,637,1019068,420022,,904874,,2/19/2016 6:39,1/17/2017 14:45,How do I check if string contains substring?,<javascript><jquery><string><contains>,12,4,135,,
